Per Capita Personal Income by County (Dollars),,,,,,,,,,,,,
Series ID,Region Name,Region Code,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
PCPI54001,"Barbour County, WV",54001,25686,26384,27633,28734,28328,28878,28965,29248,30543,32519,33599
PCPI01005,"Barbour County, AL",01005,26072,27770,28163,28206,30092,29874,31918,31932,33318,35067,35763
PCPI38003,"Barnes County, ND",38003,37291,45110,45419,53497,46037,47419,47314,47779,49792,52651,55764
PCPI25001,"Barnstable County, MA",25001,50502,52395,55266,58176,59053,62087,65467,68267,71080,74714,77435
PCPI45011,"Barnwell County, SC",45011,26508,26812,28282,28274,28747,30017,30904,31624,32325,33924,35606
PCPI21009,"Barren County, KY",21009,27152,28569,30164,31773,31630,33665,35062,34389,35481,36302,37337
PCPI55005,"Barron County, WI",55005,35391,35762,38397,42087,40912,43070,44803,44642,46666,49452,50166
PCPI13013,"Barrow County, GA",13013,26974,26321,28200,29600,30317,32135,33422,34058,35399,36410,37436
PCPI26015,"Barry County, MI",26015,30893,32479,35247,36669,37388,38948,40589,41779,42710,44408,45804
PCPI29009,"Barry County, MO",29009,28210,28887,29288,28597,30141,32195,34703,33446,33536,35085,35003
PCPI18005,"Bartholomew County, IN",18005,35882,37669,40420,43199,42443,44633,45925,46180,48154,51234,52546
PCPI20009,"Barton County, KS",20009,37870,39548,44303,47484,47440,50621,46735,45164,45205,46210,49460
PCPI29011,"Barton County, MO",29011,30145,30361,31879,33490,34752,34767,33286,33693,35151,34849,36035
PCPI13015,"Bartow County, GA",13015,28224,27937,29868,31247,31369,33132,34933,36043,36760,38312,39505
PCPI48021,"Bastrop County, TX",48021,27923,28630,29294,30457,30747,32033,33622,33753,35202,36676,38289
PCPI29013,"Bates County, MO",29013,30720,30354,31632,33377,34966,35318,34812,35878,37618,37782,40325
PCPI21011,"Bath County, KY",21011,24595,25054,26198,27776,27935,28296,29252,29420,29842,30366,31327
PCPI51017,"Bath County, VA",51017,36004,38708,44350,50099,47029,50182,54459,57250,61491,63689,66864
PCPI05005,"Baxter County, AR",05005,28648,28927,29996,31952,31733,33847,34399,34699,35798,36582,37749
PCPI12005,"Bay County, FL",12005,35390,36768,37717,37476,37369,38791,40347,41129,41658,43188,45690
PCPI26017,"Bay County, MI",26017,31984,33353,34579,35192,35287,36620,38466,39366,40130,42367,43657
PCPI55007,"Bayfield County, WI",55007,35941,36000,37155,40072,39499,41399,42414,43560,45748,49079,50750
PCPI48023,"Baylor County, TX",48023,31584,32583,34775,36155,38392,40388,41485,39265,42420,44172,46615
PCPI46005,"Beadle County, SD",46005,40839,38830,48586,43386,44288,47284,49479,49963,46990,48100,49521
PCPI16007,"Bear Lake County, ID",16007,28014,28866,30314,33323,34231,35646,36446,37534,38289,41146,43103
PCPI37013,"Beaufort County, NC",37013,32525,33329,34340,36701,36976,37829,38382,39297,40610,41706,43743
PCPI45013,"Beaufort County, SC",45013,42704,40719,43207,45060,45262,48525,50964,52674,54372,57251,59318
PCPI22011,"Beauregard Parish, LA",22011,34068,35144,37241,37124,37552,38707,39436,39261,41134,42318,43473
PCPI49001,"Beaver County, UT",49001,27550,27394,29100,30196,33602,33570,30190,28363,33293,36524,40889
PCPI40007,"Beaver County, OK",40007,31364,38842,47742,51321,52424,55560,49432,43272,48000,51797,52877
PCPI42007,"Beaver County, PA",42007,35599,36984,38856,40150,40544,41967,43580,44478,46010,48805,50600
PCPI30001,"Beaverhead County, MT",30001,30517,31208,34067,36446,37657,40334,43290,42878,43052,46351,48424
PCPI27005,"Becker County, MN",27005,33363,35569,38096,40816,41455,42467,44401,44730,45876,47163,49190
PCPI40009,"Beckham County, OK",40009,28284,31472,36885,40659,42114,44442,37616,33631,35997,38925,38789
PCPI51019,"Bedford County, VA",51019,36006,36266,37643,39368,39519,40798,42471,42988,44864,46579,47590
PCPI47003,"Bedford County, TN",47003,27005,27661,29313,30775,31967,33584,34326,35283,36322,37468,38667
PCPI42009,"Bedford County, PA",42009,30242,31983,33869,34563,34703,35716,37941,38373,40414,41957,43426
PCPI48025,"Bee County, TX",48025,22882,25339,25438,27847,29140,29870,27251,26158,27687,28692,29792
PCPI33001,"Belknap County, NH",33001,42481,43770,46261,48935,49637,52026,54530,56151,58357,61242,63308
PCPI21013,"Bell County, KY",21013,24836,25466,25797,25770,25061,26782,27538,27253,28563,29801,30649
PCPI48027,"Bell County, TX",48027,39410,38781,40468,39750,38977,39792,41032,40864,42147,42687,43919
PCPI39013,"Belmont County, OH",39013,29714,30496,32228,33431,34233,36172,37271,36813,39881,43012,42987
PCPI27007,"Beltrami County, MN",27007,30327,31073,32311,33457,34185,36419,38004,38705,39541,41237,42212
PCPI13017,"Ben Hill County, GA",13017,23682,24560,27018,26615,27798,28792,30370,29489,30271,31890,33228
PCPI16009,"Benewah County, ID",16009,26577,27986,29056,30616,32243,32408,35563,35454,36152,38209,39695
PCPI46007,"Bennett County, SD",46007,26157,25942,26827,29529,29206,31993,33174,31215,32907,35777,36759
PCPI50003,"Bennington County, VT",50003,39352,40291,42789,44428,44728,47141,48827,49449,51356,53604,55870
PCPI38005,"Benson County, ND",38005,31226,32539,35564,42131,35210,32687,31915,33330,33318,37116,36139
PCPI08011,"Bent County, CO",08011,22366,21893,22757,24257,24718,25183,26869,26174,25693,29011,31374
PCPI47005,"Benton County, TN",47005,26993,27921,28916,29652,29828,29951,30867,31461,32811,33484,34482
PCPI41003,"Benton County, OR",41003,34819,36056,37922,38294,38497,40277,41883,43534,44685,47070,48725
PCPI19011,"Benton County, IA",19011,38722,40359,42757,44676,46205,47872,49105,49450,51600,53354,55520
PCPI53005,"Benton County, WA",53005,38556,40988,42400,41476,40901,42017,44809,45446,46076,47682,49354
PCPI27009,"Benton County, MN",27009,32421,33689,35021,37209,37433,39065,40301,41160,42669,44080,45458
PCPI05007,"Benton County, AR",05007,47521,48798,56328,66861,64245,74325,79064,82906,84181,92342,92697
PCPI18007,"Benton County, IN",18007,33958,33591,39551,36954,45530,39939,34712,39625,39140,41444,42135
PCPI28009,"Benton County, MS",28009,22141,22617,23992,25075,25814,26702,28036,28034,29301,30432,31411
PCPI29015,"Benton County, MO",29015,27659,28641,29734,30221,31678,33167,34708,34000,35229,37148,38536
PCPI26019,"Benzie County, MI",26019,29481,30564,32452,33342,34420,36355,38452,39671,41268,42795,44283
PCPI34003,"Bergen County, NJ",34003,64229,66068,69056,72164,71699,74480,77767,79407,81676,86404,89456
PCPI45015,"Berkeley County, SC",45015,28190,29660,31762,32229,32455,34142,35466,36882,38905,40825,42365
PCPI54003,"Berkeley County, WV",54003,32409,33312,34577,35530,35458,36279,37367,38497,39757,41236,42473
PCPI42011,"Berks County, PA",42011,36509,38094,39947,41624,41099,43091,45103,46142,47629,49439,51299
