All-Transactions House Price Index by County (Index 2000=100),,,,,,,,,,,,,
Series ID,Region Name,Region Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ATNHPIUS37011A,"Avery County, NC",37011,137.95,132.54,129.79,125.53,127.31,124.15,128.64,128.20,136.45,145.09,151.24
ATNHPIUS22009A,"Avoyelles Parish, LA",22009,138.55,138.25,141.62,142.58,143.02,141.25,147.37,158.47,155.00,158.97,160.36
ATNHPIUS12003A,"Baker County, FL",12003,138.22,134.52,124.30,124.05,139.18,143.66,150.16,159.54,173.36,179.38,185.70
ATNHPIUS41001A,"Baker County, OR",41001,141.44,135.06,133.18,135.19,138.09,139.43,148.29,154.99,171.22,182.28,194.06
ATNHPIUS13009A,"Baldwin County, GA",13009,130.75,121.33,121.77,116.31,118.86,119.10,123.75,123.29,133.63,144.61,150.45
ATNHPIUS01003A,"Baldwin County, AL",01003,123.68,115.98,116.34,117.64,128.14,133.04,140.03,146.52,155.72,165.43,172.92
ATNHPIUS21007A,"Ballard County, KY",21007,125.94,120.58,128.66,131.20,127.78,131.65,139.42,127.89,127.89,134.17,147.94
ATNHPIUS24005A,"Baltimore County, MD",24005,164.13,155.37,151.54,153.43,157.81,160.73,164.62,168.94,173.89,178.41,183.45
ATNHPIUS24510A,"Baltimore City, MD",24510,168.18,158.47,156.33,161.50,167.35,172.70,177.64,182.11,184.83,187.41,192.27
ATNHPIUS48019A,"Bandera County, TX",48019,149.53,154.52,151.94,146.88,149.37,165.06,161.00,176.12,195.01,195.18,209.70
ATNHPIUS13011A,"Banks County, GA",13011,102.99,100.54,90.87,95.15,99.81,105.47,111.98,122.27,125.81,142.29,144.64
ATNHPIUS16005A,"Bannock County, ID",16005,139.69,133.23,134.13,134.36,134.79,139.13,144.00,152.82,168.58,184.36,200.43
ATNHPIUS01005A,"Barbour County, AL",01005,126.45,124.60,122.86,119.45,111.33,117.93,116.46,119.96,118.09,116.60,123.74
ATNHPIUS38003A,"Barnes County, ND",38003,155.87,165.39,165.80,175.51,192.71,203.82,201.43,218.77,219.46,228.30,229.02
ATNHPIUS25001A,"Barnstable County, MA",25001,155.45,151.58,151.01,151.92,156.72,162.13,168.09,176.36,185.57,192.68,201.30
ATNHPIUS45011A,"Barnwell County, SC",45011,138.24,133.86,132.21,133.24,126.59,122.36,130.30,127.98,133.41,147.69,148.10
ATNHPIUS21009A,"Barren County, KY",21009,124.88,121.11,122.03,121.84,124.00,126.16,131.34,136.96,139.17,144.32,149.72
ATNHPIUS55005A,"Barron County, WI",55005,126.65,122.46,120.27,119.63,123.68,125.58,130.94,133.88,144.00,148.01,154.33
ATNHPIUS13013A,"Barrow County, GA",13013,99.70,85.96,78.11,83.03,96.31,107.88,114.89,126.25,138.97,148.43,158.47
ATNHPIUS29009A,"Barry County, MO",29009,118.08,120.18,117.44,118.58,114.37,117.32,126.37,119.45,132.47,141.91,142.34
ATNHPIUS26015A,"Barry County, MI",26015,101.39,97.94,97.08,99.56,104.14,111.63,117.77,126.93,135.08,140.09,147.25
ATNHPIUS18005A,"Bartholomew County, IN",18005,116.65,116.42,118.31,120.44,121.14,125.78,129.32,133.24,140.50,146.33,152.68
ATNHPIUS29011A,"Barton County, MO",29011,119.63,115.30,111.64,114.13,120.53,123.64,123.00,108.62,123.61,124.15,127.65
ATNHPIUS20009A,"Barton County, KS",20009,126.59,129.12,134.00,138.64,145.40,148.93,149.79,147.24,146.01,152.80,154.98
ATNHPIUS13015A,"Bartow County, GA",13015,103.85,95.88,89.10,93.19,104.11,109.57,115.40,127.14,137.92,146.03,153.55
ATNHPIUS48021A,"Bastrop County, TX",48021,123.65,121.84,125.28,130.11,138.57,147.64,162.06,175.82,189.45,200.42,209.63
ATNHPIUS29013A,"Bates County, MO",29013,116.12,116.11,107.17,110.37,106.36,111.37,115.50,116.38,131.75,136.22,142.19
ATNHPIUS21011A,"Bath County, KY",21011,123.31,116.78,111.02,108.52,112.92,125.98,105.51,124.61,126.77,133.40,132.25
ATNHPIUS05005A,"Baxter County, AR",05005,135.90,131.03,129.45,130.17,127.47,125.81,130.82,130.59,137.79,141.60,145.98
ATNHPIUS12005A,"Bay County, FL",12005,143.68,133.57,128.56,130.67,139.73,146.38,155.77,161.78,177.85,193.47,204.86
ATNHPIUS26017A,"Bay County, MI",26017,92.55,91.19,89.93,89.21,90.57,93.82,94.57,97.71,102.47,106.01,110.70
ATNHPIUS55007A,"Bayfield County, WI",55007,135.41,133.31,128.92,126.76,125.18,129.92,132.82,131.84,140.86,150.10,147.90
ATNHPIUS46005A,"Beadle County, SD",46005,151.12,153.61,158.38,166.63,169.31,174.12,180.51,181.57,190.09,178.99,193.78
ATNHPIUS16007A,"Bear Lake County, ID",16007,146.07,138.08,134.37,141.68,145.80,142.65,152.72,167.00,174.65,194.32,200.16
ATNHPIUS37013A,"Beaufort County, NC",37013,145.27,141.12,137.09,135.72,130.54,130.45,137.84,134.94,139.37,139.83,150.11
ATNHPIUS45013A,"Beaufort County, SC",45013,133.08,123.39,119.43,118.27,123.11,131.32,137.09,143.60,152.69,159.65,166.49
ATNHPIUS22011A,"Beauregard Parish, LA",22011,151.09,147.23,151.96,155.95,162.19,165.99,173.69,178.43,175.89,179.73,185.55
ATNHPIUS49001A,"Beaver County, UT",49001,136.42,125.99,122.39,126.74,135.44,147.80,145.83,153.32,168.64,170.90,183.39
ATNHPIUS42007A,"Beaver County, PA",42007,122.87,122.86,124.80,126.29,129.80,133.20,136.89,141.42,147.56,154.11,159.80
ATNHPIUS30001A,"Beaverhead County, MT",30001,151.91,147.53,142.49,155.96,162.70,163.58,174.44,181.72,186.07,207.89,215.08
ATNHPIUS27005A,"Becker County, MN",27005,161.11,157.36,156.58,158.27,164.87,170.88,176.79,186.57,195.15,204.10,205.81
ATNHPIUS40009A,"Beckham County, OK",40009,154.92,155.78,161.14,172.05,182.07,175.04,167.74,175.08,185.25,177.40,180.92
ATNHPIUS51019A,"Bedford County, VA",51019,142.75,137.46,136.05,135.91,137.30,139.82,141.15,142.93,149.07,153.89,159.17
ATNHPIUS47003A,"Bedford County, TN",47003,127.90,127.11,118.94,123.95,130.39,136.17,145.19,160.66,174.46,186.52,195.77
ATNHPIUS42009A,"Bedford County, PA",42009,145.30,147.57,146.88,146.01,141.61,151.09,150.63,149.46,157.67,161.59,166.22
ATNHPIUS48025A,"Bee County, TX",48025,143.36,160.43,162.92,168.92,185.02,186.55,196.94,204.15,210.77,218.76,231.69
ATNHPIUS33001A,"Belknap County, NH",33001,150.73,143.12,140.57,139.39,141.27,145.73,151.99,158.58,169.46,181.67,192.63
