State,Region Code,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
GA,13015,28224,27937,29868,31247,31369,33132,34933,36043,36760,38312,39505
TX,48021,27923,28630,29294,30457,30747,32033,33622,33753,35202,36676,38289
MO,29013,30720,30354,31632,33377,34966,35318,34812,35878,37618,37782,40325
KY,21011,24595,25054,26198,27776,27935,28296,29252,29420,29842,30366,31327
VA,51017,36004,38708,44350,50099,47029,50182,54459,57250,61491,63689,66864
AR,5005,28648,28927,29996,31952,31733,33847,34399,34699,35798,36582,37749
FL,12005,35390,36768,37717,37476,37369,38791,40347,41129,41658,43188,45690
MI,26017,31984,33353,34579,35192,35287,36620,38466,39366,40130,42367,43657
WI,55007,35941,36000,37155,40072,39499,41399,42414,43560,45748,49079,50750
TX,48023,31584,32583,34775,36155,38392,40388,41485,39265,42420,44172,46615
SD,46005,40839,38830,48586,43386,44288,47284,49479,49963,46990,48100,49521
ID,16007,28014,28866,30314,33323,34231,35646,36446,37534,38289,41146,43103
NC,37013,32525,33329,34340,36701,36976,37829,38382,39297,40610,41706,43743
SC,45013,42704,40719,43207,45060,45262,48525,50964,52674,54372,57251,59318
LA,22011,34068,35144,37241,37124,37552,38707,39436,39261,41134,42318,43473
UT,49001,27550,27394,29100,30196,33602,33570,30190,28363,33293,36524,40889
OK,40007,31364,38842,47742,51321,52424,55560,49432,43272,48000,51797,52877
PA,42007,35599,36984,38856,40150,40544,41967,43580,44478,46010,48805,50600
MT,30001,30517,31208,34067,36446,37657,40334,43290,42878,43052,46351,48424
MN,27005,33363,35569,38096,40816,41455,42467,44401,44730,45876,47163,49190
OK,40009,28284,31472,36885,40659,42114,44442,37616,33631,35997,38925,38789
VA,51019,36006,36266,37643,39368,39519,40798,42471,42988,44864,46579,47590
TN,47003,27005,27661,29313,30775,31967,33584,34326,35283,36322,37468,38667
PA,42009,30242,31983,33869,34563,34703,35716,37941,38373,40414,41957,43426
TX,48025,22882,25339,25438,27847,29140,29870,27251,26158,27687,28692,29792
NH,33001,42481,43770,46261,48935,49637,52026,54530,56151,58357,61242,63308
KY,21013,24836,25466,25797,25770,25061,26782,27538,27253,28563,29801,30649
TX,48027,39410,38781,40468,39750,38977,39792,41032,40864,42147,42687,43919
OH,39013,29714,30496,32228,33431,34233,36172,37271,36813,39881,43012,42987
MN,27007,30327,31073,32311,33457,34185,36419,38004,38705,39541,41237,42212
GA,13017,23682,24560,27018,26615,27798,28792,30370,29489,30271,31890,33228
ID,16009,26577,27986,29056,30616,32243,32408,35563,35454,36152,38209,39695
SD,46007,26157,25942,26827,29529,29206,31993,33174,31215,32907,35777,36759
VT,50003,39352,40291,42789,44428,44728,47141,48827,49449,51356,53604,55870
ND,38005,31226,32539,35564,42131,35210,32687,31915,33330,33318,37116,36139
CO,8011,22366,21893,22757,24257,24718,25183,26869,26174,25693,29011,31374
TN,47005,26993,27921,28916,29652,29828,29951,30867,31461,32811,33484,34482
OR,41003,34819,36056,37922,38294,38497,40277,41883,43534,44685,47070,48725
IA,19011,38722,40359,42757,44676,46205,47872,49105,49450,51600,53354,55520
WA,53005,38556,40988,42400,41476,40901,42017,44809,45446,46076,47682,49354
MN,27009,32421,33689,35021,37209,37433,39065,40301,41160,42669,44080,45458
AR,5007,47521,48798,56328,66861,64245,74325,79064,82906,84181,92342,92697
IN,18007,33958,33591,39551,36954,45530,39939,34712,39625,39140,41444,42135
MS,28009,22141,22617,23992,25075,25814,26702,28036,28034,29301,30432,31411
MO,29015,27659,28641,29734,30221,31678,33167,34708,34000,35229,37148,38536
MI,26019,29481,30564,32452,33342,34420,36355,38452,39671,41268,42795,44283
NJ,34003,64229,66068,69056,72164,71699,74480,77767,79407,81676,86404,89456
SC,45015,28190,29660,31762,32229,32455,34142,35466,36882,38905,40825,42365
WV,54003,32409,33312,34577,35530,35458,36279,37367,38497,39757,41236,42473
PA,42011,36509,38094,39947,41624,41099,43091,45103,46142,47629,49439,51299
MA,25003,40264,41267,43649,45210,45638,48359,51239,52766,54396,56651,58299
NM,35001,35409,35539,36740,37009,36311,38613,40114,41506,42282,43902,45431
MI,26021,34259,36122,37467,37779,38275,40036,42553,44049,45376,47461,48237
GA,13019,25329,25220,26460,27765,26959,27171,29195,29283,31001,31309,32935
NC,37015,27959,27873,27793,30256,30652,32152,32611,33231,35639,35603,37424
AK,2050,32363,34361,36904,37972,37232,39700,40414,41492,42572,45242,46348
TX,48029,34137,35456,38023,38384,39075,41770,42512,42449,44170,46531,47830
GA,13021,32908,33783,35365,34885,35316,37062,38331,38825,40241,41555,42696
AL,1007,23780,25057,25993,27042,27417,28224,29052,28976,29386,30559,31725
LA,22013,28458,31029,31737,31454,32527,32612,33164,33331,35726,38430,39111
MT,30003,23965,24746,26174,26424,26337,26431,28105,28762,29018,30504,31887
WY,56003,31017,32108,34748,35793,35334,37108,37239,35306,36208,38198,39318
MN,27011,37479,39991,41910,51308,51470,49084,52690,50722,52682,53692,55491
ND,38007,29746,53008,70858,89817,84357,95147,76754,70187,77821,75712,79550
ID,16011,27635,28225,30488,30724,31524,31453,33139,33267,33918,36096,37909
IA,19013,34320,34918,37120,38847,38439,39880,40673,41009,42447,45355,46326
IN,18009,29197,30637,31904,32713,33959,34610,35130,35070,36182,37721,38813
NC,37017,28055,29150,29475,30094,31282,32491,32891,32963,34809,34887,36312
ID,16013,65137,61850,68229,78388,80835,87472,95565,97929,107631,116962,117097
MT,30005,25666,26766,28434,27977,29831,29073,29989,28867,30109,30967,33560
NE,31009,33411,33010,52497,36851,62123,83057,90958,77015,55752,57185,60120
OK,40011,23867,31142,34237,35789,33133,36907,36036,34240,38052,40623,42256
PA,42013,33724,34941,36891,37997,38099,39901,42031,42943,44330,46539,48277
TX,48031,47659,41004,41284,42775,43696,46063,47345,47531,50806,53189,54814
VA,51021,27560,27976,30123,30997,31238,31744,33238,33544,35988,36956,38126
GA,13023,28377,29195,29608,30617,31156,31700,32783,32102,33501,34332,35272
TN,47007,19279,20179,21600,23303,23326,23512,24353,23960,24775,25838,27113
AL,1009,27367,27701,28400,29647,30320,31547,32628,32902,34317,35671,36412
TN,47009,30971,31891,33758,35476,35797,36924,38847,39945,41605,44070,45222
MN,27013,32497,33630,36747,38807,39104,41613,42415,42110,42949,45255,46793
ID,16015,29737,30822,31855,32999,34481,36187,37521,41883,41821,41898,43320
MS,28011,28354,29732,31554,32568,33870,33316,34265,35915,37513,39061,39179
MO,29017,25703,26018,27291,28737,28704,28857,29575,30832,31239,32269,33632
SD,46009,30551,32034,38258,36165,29676,28943,32787,34317,35544,38758,40713
IL,17005,28595,29721,30805,31042,31727,31900,33568,34870,35156,36894,37871
ID,16017,29359,29855,31744,33147,33408,34665,36702,38326,39615,41551,42277
ID,16019,33545,34331,35173,37515,37603,39036,42390,44292,46599,48989,50114
MO,29019,38053,37466,38804,40517,41222,42193,43857,44627,45796,46557,48525
IA,19015,39055,38885,42156,43655,44936,45448,45243,45215,45668,47952,49794
KY,21015,36498,37104,38983,40067,39768,41527,43005,44141,45705,47823,49778
IN,18011,49687,51195,55431,58020,60476,62253,65633,69306,70455,74413,76241
WV,54005,29089,30126,32647,32159,30532,30644,31098,30334,32142,34859,35615
NE,31011,37635,43211,60480,51295,59168,59530,57024,54536,49566,53091,58042
IL,17007,34161,34937,37247,38917,39575,40445,42066,43684,45118,47006,47682
AR,5009,27377,28145,29194,30506,30501,32249,33131,33352,34130,35628,36414
TX,48033,34257,47277,50008,55475,59712,51095,48527,42307,46175,67094,61287
TX,48035,31544,32484,34413,35698,36216,37878,38313,38752,39436,41271,42366
LA,22015,35262,37183,39044,38925,38702,41329,41339,41494,41722,43950,45110
VA,51023,39117,39330,41464,42860,43476,45113,46710,47604,48473,50359,51738
ND,38009,48808,49024,52368,70436,65075,61997,54326,51894,53366,62241,61071
CO,8013,46942,50465,52309,54984,56706,60575,64287,65363,69968,73518,76527
ID,16021,25844,27305,29411,31018,31733,33642,33658,33019,34636,36880,38142
KY,21017,31289,31463,33315,34729,38318,41545,45101,45625,47997,49066,51505
KS,20011,32661,32733,33673,36067,36343,37309,39069,39544,40950,45087,46149
TX,48037,32804,33960,35321,35779,34841,35584,37393,37865,39187,40048,41172
ND,38011,47011,53489,61086,67990,71706,69195,59557,55903,57830,59530,66566
NE,31013,34062,34971,41789,42415,43371,45095,45022,43284,46140,48906,50518
UT,49003,28092,28063,29501,30316,31513,32869,33793,34447,36102,38237,40621
KY,21019,31640,32936,33453,33706,33756,35008,36282,36154,37362,39503,40453
NE,31015,33106,38220,47747,41405,41985,46796,50402,49295,49260,52559,57949
KY,21021,29894,30597,31520,32569,32645,34185,35769,35831,36508,37747,38958
KY,21023,29814,29060,30209,30423,30877,31978,33130,34033,35468,37039,38692
PA,42015,29754,31598,34713,36347,35632,37381,37795,37415,39454,40992,43187
FL,12007,23442,24884,26167,27928,28870,29987,31223,31517,32993,33727,34179
TN,47011,30499,31406,33334,35051,34938,35804,37131,37402,38081,39453,40712
AR,5011,25518,27988,29027,31485,31877,34105,35317,36002,37412,38859,39980
MI,26023,25771,27301,29565,29844,30875,31378,32909,33718,35214,36437,37202
GA,13025,21808,21760,22138,22471,22844,23306,25124,26373,26293,27453,28248
WV,54007,24781,25804,27828,29699,28926,29650,30646,29779,30319,31885,32816
TX,48039,36207,36920,38914,40734,41721,44346,45558,45662,45864,46744,48374
TX,48041,28557,29783,30990,32493,33254,35144,35472,35734,37426,40124,41348
KY,21025,25629,26818,27749,28353,28405,31202,31469,31097,32708,33410,34232
KY,21027,25546,26429,28214,30711,30624,31728,32515,32101,33293,33475,34418
IA,19017,36564,38377,41687,43522,43188,43906,44826,45578,47241,49512,50810
FL,12009,35576,36715,38163,38092,37919,39232,40962,42016,43733,45959,47911
TX,48043,33646,35457,36869,36266,37904,40998,42004,43271,43291,46109,48422
TX,48045,30435,36841,31241,30313,40286,31900,32154,34011,40410,44709,44413
RI,44001,54750,60112,61610,65701,64151,66391,69826,72862,75428,76489,78975
MA,25005,39319,40724,42338,43855,44373,46019,48427,49761,51780,53853,55718
AK,2060,63096,72290,79747,93234,110463,116587,110312,120294,126290,142617,151900
MT,30007,31279,30821,33376,32467,36446,36731,37814,39633,40459,43128,45211
NY,36005,28825,29901,30546,30537,30827,31833,33162,33794,36140,37459,39711
WV,54009,29910,30994,33198,34521,34734,36831,38064,37986,39996,42362,43882
SD,46011,35095,35391,39405,40062,40982,42787,44156,43961,43897,46254,47782
TX,48047,25823,28194,31442,32459,33351,34587,34922,32686,33131,35049,36558
GA,13027,28220,27370,30913,30625,30022,31219,32862,33327,34384,35566,37655
NY,36007,34588,35558,36651,37786,37802,38282,39980,40696,43055,44332,46361
CO,8014,57309,54157,56309,58467,55036,57640,58798,60556,63349,68038,70996
FL,12011,38345,40767,41503,41989,40927,43308,46033,46657,48456,50538,52308
NE,31017,30783,36019,44661,44385,52729,61948,67393,66592,51593,53938,57563
SD,46013,40411,41523,46605,48301,50048,51204,52312,51450,50824,54846,55397
OH,39015,27999,28505,30207,30496,30988,31967,33005,34026,35910,36978,38401
WI,55009,39085,40334,42236,44587,44727,46337,48062,48437,50119,52803,54090
MN,27015,37285,38913,43190,46206,45027,46997,48903,49607,51339,53990,55904
KS,20013,37059,34913,40991,39476,41517,40035,40365,40943,42047,45750,47930
IN,18013,33256,34286,36806,39002,39116,40560,42273,43681,45062,47146,48862
TX,48049,27848,29291,30257,31199,32760,34522,35684,35651,37366,39053,39661
IL,17009,23294,25259,26438,28018,30107,28933,30198,31525,33186,35416,37500
SD,46015,36149,37235,47055,40640,41930,41878,41435,39024,44430,46607,45320
NC,37019,31985,31969,32853,34070,34644,36409,38248,40309,41616,43250,44129
VA,51025,26804,26644,27438,27929,28193,29028,30200,30982,31775,32347,33784
GA,13029,40944,41957,44458,44608,44662,47002,48725,49852,50186,53188,53853
OK,40013,27041,26974,27307,28571,29242,30608,31273,32350,33391,33950,35269
MO,29021,31482,31640,33497,34971,35385,36169,36892,37167,38200,38780,40156
VA,51027,29166,30013,32132,32419,31506,32032,31720,31440,34222,35495,37048
IA,19019,35962,37216,42045,42177,43946,43408,44101,44055,45814,48853,50823
VA,51029,23239,23988,24725,25493,25670,26771,27803,28018,29155,30076,30966
PA,42017,50818,52870,55561,58574,59467,62406,65239,67629,69780,73037,75864
IA,19021,34574,37286,41975,44362,45248,45490,45961,41074,43212,47516,48394
WI,55011,35478,36216,38305,39954,39883,41499,44068,42513,43644,45957,47630
SD,46017,21163,22507,25544,26406,27067,22962,22280,20771,24207,23229,20682
NE,31019,39304,37939,42506,48512,44226,47253,50199,49800,51638,56293,57453
KY,21029,30615,31568,32909,34080,33873,34840,37176,38506,39464,41143,42799
GA,13031,25725,26212,26603,26438,27684,28368,30043,30457,31183,32381,32724
AL,1011,23763,23453,24143,25226,25146,24266,25721,26005,26906,27891,29080
NC,37021,34127,34602,36036,38205,37973,40604,43006,44478,46297,48936,50690
IL,17011,33205,34145,37862,38168,41973,39606,38824,39610,40394,41908,43040
NC,37023,26733,27393,27783,28940,28927,30227,31665,32394,33844,34919,36212
GA,13033,26634,27942,29736,29172,30207,31611,33832,34023,34988,35861,38481
ND,38013,58483,62155,74129,91179,92243,87533,71434,63672,62439,72618,74224
