State,Region Code,2011 Q1,2011 Q2,2011 Q3,2011 Q4,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2014 Q1,2014 Q2,2014 Q3,2014 Q4,2015 Q1,2015 Q2,2015 Q3,2015 Q4,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2021 Q1
VT,50001,23.97454031,22.37120677,21.76966292,21.77589852,22.45762712,21.12676056,20.88297127,20.7428171,20.40673212,20.35087719,20.0408998,21.01694915,20.06711409,19.89424983,19.18259723,19.35270806,19.07590759,19.04761905,18.15789474,18.7007874,17.81456954,17.90744467,17.93012525,18.40209561,18.11074919,18.36065574,17.04095112,17.86420567,17.88778878,17.4686882,17.49672346,17.60471204,17.29765013,16.24099542,16.68839635,17.26151849,16.35055592,15.82360571,15.32988357,15.11254019,13.97435897
SC,45003,37.609375,37.54106053,37.41571272,37.63322884,37.55883276,37.16439001,37.55890669,37.68503937,36.86012136,36.74895203,36.85229303,36.8630926,36.41456583,35.7977229,35.64678086,36.2516498,35.47821,34.95075319,35.10010082,35.0998133,34.52586207,34.08470926,34.55997718,34.23038587,33.89782268,33.75959079,34.04951622,33.80222253,33.02855535,33.05286776,33.1798521,33.41666667,32.87385129,32.51005966,32.57899821,33.12723276,33.19241784,32.2558647,31.8298447,31.45085384,30.28594442
MN,27001,25.9391771,23.98589065,24,23.70766488,23.53982301,22.63157895,22.49560633,22.95652174,23.09027778,22.39583333,22.8956229,22.88135593,23.44013491,22.4025974,21.46341463,21.77419355,22.49190939,21.99036918,21.58730159,21.92429022,20.41467305,20.4437401,21.20253165,20.6022187,20.4437401,19.5892575,20,19.33438986,17.92,18.47133758,18.03797468,18.75,18.08346213,17.55485893,17.87365177,18.12596006,17.8187404,15.65349544,16.84370258,15.7814871,14.89361702
FL,12001,34.06156902,34.42405483,34.2914216,34.74632844,34.69933185,34.06519547,34.57249071,34.89993254,33.59600444,33.18936877,33.06139525,33.45580516,32.6784408,32.64221713,32.40182838,32.22876019,31.92145574,31.52151744,30.954078,31.24872267,30.35750559,29.81869746,29.80225989,29.71802618,29.79106268,29.02129361,29.0120386,29.01375012,28.54579886,28.70075607,28.56290403,28.86975455,28.29926573,27.92694965,27.55494235,27.58353511,27.38118145,25.86787191,25.46798502,25.48306868,24.74945118
NC,37001,36.04929819,36,35.73877271,35.73388203,35.5789111,35.46099291,35.04851005,35.52835718,34.90678981,34.62457338,34.41123632,34.39282804,33.47382072,33.09962498,33.2468375,34.07335907,33.19652723,32.98888367,33.09341261,33.01725478,32.26505651,31.27800958,31.18654342,31.31950706,31.31843408,31.06287425,31.2397434,31.40139694,31.17505995,30.47519113,31.00717274,31.44635448,31.03296057,30.85403498,31.38430054,31.59044567,30.53900915,29.68115942,28.87222382,28.78526195,28.50220892
CA,6001,27.70292305,27.51120961,27.28725323,27.30040246,26.78171224,26.37322851,26.10971452,25.92427617,25.27253186,24.69635628,24.56779038,24.09683608,23.48920631,22.75663688,22.32689816,22.1909624,21.51922623,20.9019718,20.78506879,20.49459042,19.8163112,19.39908257,19.24008844,19.24549923,18.98089746,18.63187799,18.60808814,18.59504748,17.86815094,17.35353052,17.53301069,17.60743876,17.14464491,16.97697608,17.10133298,17.32825438,16.81512025,15.91928909,15.36918256,14.93128383,14.30126828
CO,8003,38.5199241,36.5530303,36.31178707,34.03041825,33.46153846,33.33333333,33.07086614,32.34126984,30.4518664,30.83003953,30.59701493,31.51183971,30.10948905,30.12939002,31.2849162,29.90654206,28.91791045,29.35779817,28.85662432,27.52293578,27.27272727,27.25598527,27.1559633,27.65567766,26.95810565,27.3381295,29.00900901,28.39506173,26.92307692,27.7972028,28.21869489,28.62254025,27.88632327,29.59001783,29.18149466,29.5971979,27.06502636,25.92592593,24,23.87543253,22.53032929
NY,36001,27.57894737,26.25956767,26.87800354,27.13801863,26.88382378,26.50571575,26.99752707,27.11186729,26.50029709,26.01474451,26.57989522,26.87627603,26.52729195,25.82915386,25.76405129,26.25199362,25.77113633,25.21364108,25.24728781,25.19660021,24.40278437,21.46626159,21.69000637,21.88682219,21.18804091,20.93534212,21.27173999,21.71828329,20.96964919,20.70619692,20.52933323,21.13904163,20.70456869,20.18757327,20.8323573,21.36977792,20.98602484,19.844479,19.56977557,19.54387321,18.74325366
WY,56001,22.57240204,22.44725738,22.62711864,22.84739983,22.5751073,22.91666667,22.51941329,22.43478261,22.70363951,23.98268398,23.23481117,23.78600823,21.79591837,22.7124183,23.00884956,22.58842444,22.10694334,22.10610932,21.3474026,21.33119487,21.61729384,20.99358974,21.86495177,21.85748599,20.19386107,21.22416534,21.22416534,20.76372315,20,20.98668755,20.77409163,20.29897718,19.84313725,20.34294622,19.51600312,19.76923077,17.88743254,17.58326878,18.30015314,17.9526356,17.00835232
VA,51003,19.68375136,19.55519392,19.15470062,19.30345572,19.39690302,19.16689355,19.68185495,19.44894652,19.03225806,19.04252474,19.65257973,19.98972251,19.54964176,18.86031266,19.21342685,19.36925751,18.68349418,18.62817666,18.66995074,18.86051081,17.88957055,17.34019104,17.45647969,17.09832134,16.57169991,16.61113755,17.01626208,17.17077711,16.38051044,16.38927416,16.75525768,16.85419059,16.19460941,15.96254853,16.56898106,16.11672278,15.68146331,14.83528631,14.16242532,14.12280702,13.61646235
MI,26001,27.89256198,27.25450902,27.38095238,25.70850202,24.94887526,25.55331992,26.07843137,26.2745098,25.88932806,25.19685039,25.24084778,25.9765625,25.19685039,23.88349515,22.8962818,22.2,21.24248497,20.86614173,21.04247104,20.3125,19.25343811,19.56947162,20.4238921,20.54263566,20.19417476,20.88974855,19.49317739,19.41176471,19.921875,18.46153846,17.9389313,18.53281853,19.96161228,19.12045889,19.04761905,19.35483871,19.65648855,19.01140684,20.2268431,19.39163498,17.30769231
MS,28003,36.53136531,36.2962963,36.53846154,36.8852459,36.84992571,35.67688856,35.73551263,36.88888889,36.03537214,35.45321637,35.59556787,36.2369338,35.95583161,34.9964863,35.64847626,34.75783476,34.07142857,35.33994334,35.44749824,35.45010468,35.25730181,34.32939541,34.72317157,35.11659808,35.51020408,35.31827515,35.12960437,35.01706485,35.02051984,34.48509485,34.64140731,35.34599729,34.95934959,34.91847826,34.10013532,34.16442049,33.62299465,32.13333333,32.26452906,32.61600538,31.46292585
AK,2013,53.84615385,46.15384615,54,51.02040816,46.93877551,50,47.91666667,48,46.80851064,41.30434783,42.22222222,45.23809524,43.90243902,46.34146341,47.61904762,51.2195122,53.84615385,51.2195122,53.65853659,47.72727273,48.7804878,40.47619048,46.34146341,42.85714286,44.44444444,43.18181818,36.95652174,45.65217391,50,48.88888889,47.61904762,38.0952381,42.22222222,38.29787234,35.41666667,40.81632653,30,25,26.92307692,27.45098039,21.56862745
AK,2016,32.43243243,30.90909091,30.47619048,30.35714286,30.39215686,29.80769231,30,25.71428571,24.76190476,26.60550459,25.86206897,23.93162393,27.11864407,29.31034483,30.43478261,31.57894737,29.72972973,28.18181818,28.18181818,30.55555556,31.13207547,30.47619048,33.01886792,31.13207547,25.92592593,26.92307692,25.71428571,23.80952381,26.1682243,25,27.27272727,27.55102041,27.72277228,28.84615385,27.10280374,29.12621359,25.24271845,25.25252525,24.48979592,22.44897959,18
