State,Region Code,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
GA,13029,-3,5,9,9,4,10,10,7,11,6,4
OK,40013,4,0,3,2,7,5,7,8,9,4,6
VA,51027,-12,23,4,-12,-12,-1,-6,-3,12,7,6
MO,29021,2,2,2,14,3,-2,0,2,4,4,3
IA,19019,6,0,19,-4,7,1,-5,5,6,4,4
VA,51029,0,6,62,26,-4,-6,2,0,-2,10,1
PA,42017,-1,3,3,2,4,3,3,3,2,3,3
IA,19021,2,6,5,7,30,14,10,-38,5,4,-4
WI,55011,15,-20,-1,-4,8,-12,8,-7,-5,19,-3
SD,46017,16,23,33,-12,-7,3,-1,-17,39,-6,9
NE,31019,-4,9,12,8,2,0,0,2,6,4,3
KY,21029,1,9,8,10,9,9,8,5,3,5,4
GA,13031,0,3,2,3,6,4,7,3,6,4,4
AL,1011,13,-4,1,11,-7,-7,1,6,3,5,9
NC,37021,-1,4,2,2,5,6,6,4,7,7,6
IL,17011,-4,-1,16,-1,16,-9,7,-8,5,1,8
NC,37023,-1,4,2,1,2,1,4,2,-1,2,5
ND,38013,13,-7,21,42,23,-12,-20,-11,-12,16,5
GA,13033,18,6,14,7,5,3,7,11,10,5,15
ND,38015,5,5,9,13,2,10,6,-4,0,2,2
TX,48051,-26,11,17,-4,3,27,-14,-12,34,43,-3
NJ,34005,-1,2,2,4,3,0,6,2,3,2,4
TX,48053,-2,2,4,4,3,8,3,4,6,7,7
WI,55013,5,5,5,4,3,5,1,2,-1,5,7
NE,31021,5,7,10,-2,7,-5,7,-4,4,12,10
PA,42019,-3,6,8,6,6,8,0,-1,4,5,3
OH,39017,-3,6,4,2,5,10,8,6,6,6,4
KY,21031,-1,15,11,6,7,-3,3,4,2,-1,6
MO,29023,0,2,2,4,2,0,-4,4,-1,2,1
AL,1013,-6,18,5,0,4,2,4,-2,4,5,1
IA,19023,0,15,14,1,7,-9,-6,-12,5,5,9
KS,20015,5,3,9,-9,2,9,6,19,9,24,-1
NE,31023,0,1,20,-10,10,-3,-2,-20,6,12,5
SD,46019,2,9,8,-2,8,12,2,-5,8,-4,2
ID,16023,7,5,0,-10,-1,-5,9,6,8,2,9
CA,6007,0,2,3,-1,5,2,6,8,7,4,8
GA,13035,-5,3,1,4,6,7,2,5,9,4,7
NC,37025,-7,0,0,-2,1,4,7,9,8,1,5
WV,54011,1,1,3,7,2,2,2,0,1,4,4
UT,49005,7,7,5,-3,4,5,6,6,7,7,5
OK,40015,3,6,2,8,0,9,-3,-5,7,6,-1
LA,22017,4,6,8,-2,-4,1,0,-1,6,6,1
CA,6009,-2,6,3,-7,2,15,8,11,4,0,18
LA,22019,-20,-3,36,1,-16,3,0,2,25,16,1
KY,21033,-6,9,8,2,3,-6,3,6,3,4,6
TX,48055,-1,14,21,8,0,-3,-12,-1,6,11,1
MO,29025,-3,3,7,-11,8,6,-10,6,20,16,1
NC,37027,0,1,5,0,2,1,7,5,4,4,5
LA,22021,4,-1,-2,-1,3,1,-2,2,3,3,6
VT,50005,1,6,2,1,0,0,-1,4,1,2,3
GA,13037,0,-1,9,-6,-9,-17,14,2,6,-3,20
IA,19025,-16,14,16,0,5,1,-16,12,-1,5,3
AL,1015,-3,5,-2,1,-2,-1,0,2,2,4,4
WV,54013,-4,7,5,8,-6,0,-17,-7,8,5,3
IL,17013,2,5,0,-5,3,-4,0,1,15,3,6
MS,28013,-1,16,15,-19,12,-6,1,2,3,3,7
SC,45017,4,10,-1,-16,13,4,9,6,1,3,18
FL,12013,4,3,-5,-3,-2,15,6,1,10,-11,11
TX,48057,-8,17,4,-1,60,-18,-7,2,21,23,5
MI,26025,-3,2,-1,2,4,2,7,4,1,1,1
AR,5013,2,-6,-7,-19,8,8,13,0,2,2,6
TX,48059,-3,-7,7,9,2,2,-6,2,8,13,4
MO,29027,6,3,-1,2,2,4,8,2,-5,9,2
KY,21035,2,0,1,5,2,-1,1,0,3,4,2
WI,55015,-13,19,6,10,-1,6,3,0,2,5,5
MD,24009,11,7,3,-3,4,2,9,7,6,-12,6
ID,16025,15,-10,17,3,19,-1,5,-4,0,12,0
PA,42021,0,3,2,1,1,0,1,-1,1,3,5
NC,37029,-17,-12,-10,-4,-5,-7,3,-4,-3,2,5
GA,13039,0,2,2,4,0,2,3,4,4,5,4
NJ,34007,-3,0,0,3,3,0,4,3,2,3,4
MO,29029,-3,2,-1,1,2,1,4,0,5,5,8
PA,42023,-9,10,6,-3,8,4,25,11,7,-19,-2
LA,22023,-38,-16,3,-3,0,33,2,36,19,-2,-20
TX,48061,3,6,4,4,4,2,3,4,2,5,5
TX,48063,0,14,-4,3,10,2,12,-15,-3,3,-5
WY,56005,-5,7,9,-10,-1,-7,-8,-8,8,2,0
KY,21037,-3,5,3,7,3,4,5,6,4,3,4
SD,46021,-32,14,49,-11,29,-4,-8,-1,9,11,-18
TN,47013,6,4,3,-18,5,-1,5,1,5,2,5
OK,40017,-9,12,5,11,10,6,-4,-1,8,24,-5
GA,13043,3,3,0,2,1,2,0,4,6,5,8
TN,47015,-4,9,3,9,5,3,4,5,5,4,5
ID,16027,-5,4,2,7,5,5,4,6,7,8,10
MO,29031,-1,2,2,2,2,1,6,3,2,5,3
NJ,34009,-1,2,1,2,2,3,3,2,1,1,10
MT,30009,4,4,4,3,10,8,13,8,1,1,6
UT,49007,-14,3,6,-9,-2,6,-12,-6,5,1,7
WY,56007,-51,6,10,9,-14,-1,16,-29,15,17,-3
PA,42025,-3,5,3,3,9,1,2,6,2,6,4
ID,16029,-6,-6,10,-11,8,-18,-3,8,-5,9,4
KY,21039,32,8,23,-5,20,-12,-11,16,-9,-5,21
MN,27017,1,2,0,-2,5,1,4,6,7,0,4
VA,51033,-4,11,-4,3,12,1,1,5,4,4,4
MD,24011,2,1,6,6,16,3,9,1,2,3,4
KY,21041,-11,6,0,-4,58,7,10,0,2,4,3
NH,33003,3,2,4,5,2,0,3,2,3,3,6
AR,5015,-7,7,1,2,9,11,-1,-3,7,3,1
MO,29033,-3,-9,24,0,17,4,-20,29,-1,-10,26
IA,19027,-1,11,6,1,5,4,0,7,5,1,0
GA,13045,-11,1,7,9,0,1,5,4,6,7,1
MS,28015,-6,4,20,-8,6,-9,-3,2,-1,6,8
TN,47017,-5,0,18,-2,5,-3,1,0,5,4,1
IN,18015,-5,10,9,-8,9,-4,-10,8,11,5,3
OH,39019,-11,36,87,-44,95,70,-20,-10,-1,8,-9
IL,17015,-2,16,15,-4,19,-7,-1,10,-10,3,8
MD,24013,-1,2,5,3,4,2,3,4,5,1,6
TX,48065,-14,9,1,-1,2,3,6,10,6,4,6
NV,32510,2,5,-6,2,2,-4,5,1,8,5,6
OK,40019,-15,-9,19,11,-11,8,-4,-7,9,9,-2
TN,47019,2,-2,3,5,2,-1,6,4,5,3,6
MO,29035,3,2,-3,0,1,2,2,1,6,6,6
MT,30011,-1,2,31,94,-2,50,-5,-4,-33,-15,-11
KY,21043,-2,5,0,3,2,5,3,0,-1,3,3
NC,37031,-1,7,2,-3,3,7,6,6,7,3,8
MN,27019,-2,7,7,7,4,8,6,0,5,5,3
MT,30013,1,6,5,1,0,4,5,-1,4,7,3
KY,21045,-1,8,2,6,9,0,5,2,2,7,6
MO,29037,0,4,1,6,3,2,4,5,4,5,6
IA,19029,-2,0,12,8,5,1,5,-3,3,5,1
MI,26027,-6,10,5,-2,-1,-3,11,5,4,6,5
IL,17017,27,7,-42,4,10,1,-2,4,6,-1,4
ND,38017,1,4,8,12,2,12,4,0,3,4,3
MN,27021,0,7,2,-1,4,5,6,4,5,2,9
NE,31025,10,1,16,-7,8,-2,5,2,4,8,11
IN,18017,-10,4,4,-1,8,4,-1,3,1,3,3
TX,48067,-2,7,1,1,6,1,-3,-2,9,8,7
ID,16031,-8,15,6,2,18,2,3,2,1,8,6
TX,48069,-32,78,25,-17,-16,44,7,-26,19,-23,38
NC,37033,4,2,-3,0,2,-4,5,0,4,2,7
LA,22025,21,5,5,-1,-4,-16,-7,-3,10,1,10
NC,37035,-1,5,0,-1,3,3,6,3,3,3,4
GA,13047,-4,0,1,3,2,1,4,1,7,5,9
NM,35003,-3,2,9,1,-2,11,-2,-1,6,4,-2
NY,36009,2,4,2,1,4,2,1,-2,2,2,6
ND,38019,-22,5,21,5,28,-24,7,48,-32,45,-22
NY,36011,-4,8,5,4,5,4,-1,0,1,4,7
MD,24015,5,4,2,4,4,1,9,7,4,13,6
NE,31027,3,18,25,-15,2,-5,6,2,-6,17,-2
MO,29039,-2,1,-1,-4,5,7,4,-2,-2,6,7
IA,19031,0,8,16,2,6,0,-4,-2,1,6,6
PA,42027,3,5,4,4,4,3,4,4,4,2,3
IA,19033,-2,2,4,4,4,6,5,2,-4,3,5
CO,8015,1,1,2,4,5,6,7,7,8,9,7
AL,1017,-2,4,4,11,33,-2,1,-7,-5,3,5
TX,48071,-2,16,-6,16,14,10,11,9,-5,16,-6
OH,39021,-12,7,6,6,8,3,0,0,6,3,0
IL,17019,1,5,2,3,6,4,2,-1,1,3,2
MO,29041,7,-6,13,-8,25,8,-14,3,4,0,8
MD,24017,4,6,2,-2,-1,9,0,6,5,-3,3
VA,51036,-5,-3,11,5,8,-6,2,4,8,4,7
SD,46023,16,13,6,-1,-15,-1,2,-11,11,14,10
SC,45019,1,5,7,8,2,7,7,6,5,6,5
MI,26029,-4,5,4,3,3,5,8,7,3,4,1
FL,12015,-4,-1,1,3,4,3,8,5,5,6,10
VA,51037,-1,1,2,3,7,1,8,6,1,1,6
GA,13049,1,-3,8,-1,2,6,12,3,-11,-1,7
KS,20017,-2,3,-8,22,-10,2,12,2,4,14,-1
NE,31029,-31,40,13,44,6,-12,3,20,-13,-4,15
NC,37037,2,1,-7,-9,-2,1,2,4,6,3,4
GA,13051,0,3,3,5,4,8,6,4,4,6,3
GA,13053,13,3,4,1,-6,-3,4,-12,-6,2,-2
GA,13055,-5,-1,-3,2,7,6,3,0,5,5,4
NY,36013,1,4,0,-1,1,-1,0,0,2,2,6
KS,20019,6,7,3,2,5,-1,-6,1,2,10,11
NM,35005,-13,13,6,0,0,4,-5,1,1,3,6
TN,47021,-2,1,1,5,2,9,16,4,6,4,5
MI,26031,-3,-1,1,1,2,2,5,4,3,5,5
